The author's high score is better than the current Global High Score
(GHS) for the following 147 levels:   

 ===================================================================
| Levels Collection                   | Current GHS  | Author's HS  |
| 1061  bucolic dagger 2              |   235   287  |   226   245  |
| 1109  4 solutions impossibles       |   369   152  |   335   154  |
| 1111  Spiral Seduction              |  1180   262  |  1028   272  |
| 1283  Level Variation 58            |   683   333  |   487   350  |
| 1289  Petit Tableau 150             |   162   188  |   158   174  |
| 1291  Au bon moment                 |   256   288  |    88    83  |
| 1292  UNINVOLVED in PEACE           |   575   213  |   307   162  |
| 1360  without manes 2               |   190   146  |   151   142  |
| 1387  bucolic starter               |   223    69  |   210    63  |
| 1394  bucolic wane                  |   819   365  |   629   408  |
| 1395  Seductores Artistas           |   662   658  |   263   311  |
| 1396  Level Variation 60            |  1573   104  |  1161   106  |
| 1400  à la Gary-XI                  |   325    88  |   219    90  |
| 1402  Les souks d'Alep              |  1455   253  |  1052   239  |
| 1413  Closing ceremony              |   255    83  |   178    94  |
| 1427  through terracing 2           |   878   473  |   798   475  |
| 1437  Blocks watering               |   675   268  |   510   395  |
| 1452  Bermuda Prison                |  1005   990  |   909   972  |
| 1454  bucolic raven                 |   857   339  |   708   311  |
| 1455  & if there is an LT 11 cmdt?  |  1236   410  |   990   443  |
| 1456  à la Gary-XIII                |   959   343  |   809   351  |
| 1457  Arc-boutement                 |  3378  3875  |   815   599  |
| 1458  Razorflame/Donald's sp. lvl   |  5874   860  |  5093   855  |
| 1459  Chaenomeles japonica          |  1010   242  |   721   201  |
| 1461  kelvinator party              |   167    58  |   113    52  |
| 1462  M14 block is not in crystal ! |  1172   286  |  1172   278  |
| 1471  without sabre                 |  1262   357  |   867   324  |
| 1472  More gathering 2              |  1185  1040  |  1098  1175  |
| 1478  without warner                |   444   351  |   237   398  |
| 1482  The Oh No Zone                |   367   108  |   252   100  |
| 1483  The Oh No Zone II             |   317    63  |   232    53  |
| 1484  The Oh No Zone III            |   224    49  |   218    47  |
| 1495  GFY 61                        |   804   450  |   759   462  |
| 1509  Bucolic Watcher 2             |   548   311  |   522   329  |
| 1510  Bucolic Watcher 3             |   567   233  |   543   241  |
| 1529  Devil in the Deep Blue Sea    |   445   260  |   338   251  |
| 1531  Colic Bermuda 2               |   433   200  |   289   189  |
| 1532  Blue Cross II                 |   517   249  |   383   220  |
| 1537  bucolic zebra                 |  1139   635  |   937   737  |
| 1545  Without Armlet 2              |   481   261  |   423   286  |
| 1566  Bucolic Tangle 2              |   492   378  |   288   280  |
| 1578  without meagre                |   232   240  |   224   218  |
| 1579  through annexing              |   424   324  |   344   283  |
| 1582  bucolic gleam                 |  1027   340  |   646   281  |
| 1583  DroppingBermuda               |  1258   461  |  1064   486  |
| 1589  Sokoban-II                    |   395   264  |   383   266  |
 ===================================================================
